;IDTombe;POINT_X;POINT_Y
552;571;30.44408133;19.61533179
553;572;30.44409896;19.6153232
554;573;30.44407256;19.6153317
555;574;30.44404589;19.61536651
556;575;30.44486947;19.61459439
557;576;30.44488719;19.61457703
558;577;30.44487869;19.61455063
559;578;30.44487905;19.61451556
560;579;30.44486152;19.61451538
561;580;30.44493293;19.61439332
562;581;30.4448617;19.61449784
563;582;30.44412096;19.61403416
564;583;30.44409447;19.61405143
565;584;30.44414709;19.61405197
566;585;30.44414736;19.61402567
567;586;30.44414763;19.61399936
568;587;30.44416544;19.61397323
569;588;30.44414673;19.61408705
570;589;30.44412186;19.61394647
571;590;30.44411659;19.61531461
572;591;30.44413422;19.61530602
573;592;30.44411677;19.61529707
574;593;30.44411731;19.61524446
575;594;30.44411695;19.61527954
576;595;30.44413458;19.61527095
577;596;30.44411713;19.615262
578;597;30.44414344;19.61526227
579;598;30.44413485;19.61524464
580;599;30.44411749;19.61522692
581;600;30.44413503;19.6152271
582;601;30.44413521;19.61520956
583;602;30.44411776;19.61520061
584;603;30.44412653;19.6152007
585;604;30.44414416;19.61519211
586;605;30.44413548;19.61518325
587;606;30.44411803;19.6151743
588;607;30.44413557;19.61517448
589;608;30.44411812;19.61516553
590;609;30.44412788;19.61506916
591;610;30.44413647;19.61508678
592;611;30.44413611;19.61512186
593;612;30.44411695;19.61527954
594;613;30.44411893;19.6150866
595;614;30.44410157;19.61506889
596;615;30.44411839;19.61513922
597;616;30.44412878;19.61498146
598;617;30.44470618;19.61426821
599;618;30.44462726;19.6142674
600;619;30.44467129;19.61425031
601;620;30.44470654;19.61423313
602;621;30.44463621;19.61424995
603;622;30.44464534;19.61421496
604;623;30.44470699;19.61418928
605;624;30.44466315;19.61418883
606;625;30.44463693;19.61417979
607;626;30.4446636;19.61414498
608;627;30.44464597;19.61415357
609;628;30.44467255;19.61412753
610;629;30.44464633;19.61411849
611;630;30.44469054;19.61408387
612;631;30.44440532;19.61452823
613;632;30.4443885;19.6144579
614;633;30.44454653;19.61444198
615;634;30.44458197;19.61440726
616;635;30.44443976;19.61458998
617;636;30.44442277;19.61453718
618;637;30.44437892;19.61453673
619;639;30.44451019;19.61456439
620;640;30.44453731;19.61448574
621;641;30.44466831;19.6145397
622;642;30.44467897;19.61435563
623;643;30.44458143;19.61445988
624;644;30.44459897;19.61446006
625;645;30.44458125;19.61447742
626;646;30.44461669;19.6144427
627;647;30.44453758;19.61445943
628;648;30.44540111;19.61321411
