;university_name;long;lat;periode;effectif
173;Colgate University;-75.5364;42.8194;1901-1921;1
174;College of Engineering, Pune;73.8568;18.5306;1941-1951;1
175;College of Europe;3.2258;51.211;1971-2001;1
176;College of the Holy Cross;-71.8083;42.2392;1971-2001;1
177;Colorado College;-104.823;38.848;1861-1901;1
178;Colorado College;-104.823;38.848;1941-1951;1
179;Columbia Business School;-73.961;40.81;1901-1921;1
180;Columbia Business School;-73.961;40.81;1951-1961;2
181;Columbia University;-73.9619;40.8075;1771-1861;2
182;Columbia University;-73.9619;40.8075;1861-1901;16
183;Columbia University;-73.9619;40.8075;1901-1921;9
184;Columbia University;-73.9619;40.8075;1921-1941;22
185;Columbia University;-73.9619;40.8075;1941-1951;9
186;Columbia University;-73.9619;40.8075;1951-1961;6
187;Columbia University;-73.9619;40.8075;1961-1971;3
188;Columbia University;-73.9619;40.8075;1971-2001;1
189;Complutense University of Madrid;-3.72806;40.4492;1901-1921;1
190;Complutense University of Madrid;-3.72806;40.4492;1921-1941;3
191;Complutense University of Madrid;-3.72806;40.4492;1941-1951;5
192;Complutense University of Madrid;-3.72806;40.4492;1951-1961;1
193;Cooper Union;-73.9906;40.7293;1941-1951;1
194;Cornell College;-91.4258;41.9261;1921-1941;1
195;Cornell University;-76.4831;42.4472;1861-1901;3
196;Cornell University;-76.4831;42.4472;1921-1941;5
197;Cornell University;-76.4831;42.4472;1941-1951;7
198;Cornell University;-76.4831;42.4472;1951-1961;8
199;Cornell University;-76.4831;42.4472;1961-1971;1
200;Cornell University;-76.4831;42.4472;1971-2001;1
201;Corpus Christi College, Cambridge;0.118;52.2031;1921-1941;1
202;Corpus Christi College, Oxford;-1.2537;51.7509;1961-1971;2
203;Corvinus University of Budapest;19.0581;47.4861;1941-1951;3
204;Corvinus University of Budapest;19.0581;47.4861;1951-1961;4
205;Corvinus University of Budapest;19.0581;47.4861;1961-1971;2
206;Corvinus University of Budapest;19.0581;47.4861;1971-2001;1
207;Częstochowa University of Technology;19.1117;50.8211;1971-2001;1
208;Dagestan State University;47.4939;42.9861;1961-1971;1
209;Dalhousie University;-63.5917;44.6369;1861-1901;1
210;Dalhousie University;-63.5917;44.6369;1901-1921;1
211;Dalhousie University;-63.5917;44.6369;1971-2001;1
212;Damascus University;36.2914;33.5114;1921-1941;1
213;Dartmouth College;-72.2883;43.7033;1771-1861;1
214;Dartmouth College;-72.2883;43.7033;1921-1941;1
215;Dartmouth College;-72.2883;43.7033;1941-1951;2
216;Dartmouth College;-72.2883;43.7033;1951-1961;1
217;Davidson College;-80.8453;35.5;1951-1961;1
218;Davidson College;-80.8453;35.5;1961-1971;1
219;Delft University of Technology;4.3725;52.0017;1901-1921;1
220;Delft University of Technology;4.3725;52.0017;1941-1951;1
221;Delhi University;77.21;28.69;1941-1951;1
222;Delhi University;77.21;28.69;1951-1961;4
223;Denison University;-82.5225;40.0722;1951-1961;1
224;Dhaka College;90.3832;23.7354;1941-1951;2
225;Donetsk National University;37.7975;48.0041;1961-1971;1
226;Donetsk National University;37.7975;48.0041;1971-2001;1
227;Drake University;-93.6522;41.6011;1921-1941;1
228;Drexel University;-75.188;39.954;1941-1951;1
229;Duke University;-78.9389;36.0011;1921-1941;3
230;Duke University;-78.9389;36.0011;1941-1951;4
231;Duke University;-78.9389;36.0011;1951-1961;1
232;Duke University;-78.9389;36.0011;1961-1971;4
233;Duke University;-78.9389;36.0011;1971-2001;1
234;Durham University;-1.574;54.773;1941-1951;3
235;Durham University;-1.574;54.773;1971-2001;1
236;ENSAE ParisTech;2.20766;48.7111;1921-1941;1
237;ENSAE ParisTech;2.20766;48.7111;1951-1961;2
238;ENSAE ParisTech;2.20766;48.7111;1961-1971;1
239;ESADE;2.11167;41.3914;1961-1971;1
240;ESAN University;-76.961;-12.105;1941-1951;1
241;ETH Zurich;8.54806;47.3764;1901-1921;1
242;Eastern Michigan University;-83.6245;42.2502;1941-1951;1
243;Edinburgh College of Art;-3.1982;55.9452;1921-1941;1
244;Eduardo Mondlane University;32.5833;-25.9667;1951-1961;2
245;Emmanuel College, Cambridge;0.1244;52.2037;1861-1901;1
246;Emmanuel College, Cambridge;0.1244;52.2037;1921-1941;1
247;Emory University;-84.3233;33.7911;1921-1941;1
248;Emory University;-84.3233;33.7911;1941-1951;1
249;Erasmus University Rotterdam;4.52583;51.9181;1861-1901;1
250;Erasmus University Rotterdam;4.52583;51.9181;1901-1921;3
251;Erasmus University Rotterdam;4.52583;51.9181;1921-1941;11
252;Erasmus University Rotterdam;4.52583;51.9181;1941-1951;5
253;Erasmus University Rotterdam;4.52583;51.9181;1951-1961;1
254;Erasmus University Rotterdam;4.52583;51.9181;1961-1971;2
255;Eton College;-0.608;51.492;1861-1901;1
256;European University Institute;11.2828;43.8028;1951-1961;1
257;European University Institute;11.2828;43.8028;1971-2001;1
258;Evergreen State College;-122.976;47.073;1971-2001;1
259;Exeter College, Oxford;-1.25605;51.7539;1921-1941;1
260;Eötvös Loránd University;19.0585;47.4906;1861-1901;1
261;Eötvös Loránd University;19.0585;47.4906;1901-1921;2
262;Faculty of Humanities and Social Sciences, University of Zagreb;15.971;45.7967;1861-1901;1
263;Fairfield University;-73.2581;41.1602;1941-1951;1
264;Federal University of Bahia;-38.5203;-12.9936;1961-1971;1
265;Federal University of Minas Gerais;-43.9662;-19.8719;1941-1951;1
266;Federal University of Pernambuco;-34.9508;-8.05167;1941-1951;1
267;Federal University of Rio Grande do Sul;-51.2193;-30.0324;1941-1951;1
268;Federal University of Rio de Janeiro;-43.2239;-22.8625;1941-1951;3
269;Financial University under the Government of the Russian Federation;37.5293;55.8003;1861-1901;1
270;Fitzwilliam College, Cambridge;0.10489;52.2145;1941-1951;2
271;Fitzwilliam College, Cambridge;0.10489;52.2145;1951-1961;1
272;Fitzwilliam College, Cambridge;0.10489;52.2145;1971-2001;1
273;Fletcher School of Law and Diplomacy;-71.1217;42.4077;1921-1941;1
274;Florida Atlantic University;-80.102;26.371;1961-1971;1
