FID;FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Angle;IDTombe;Inventaire;Secteur;Coordonnee;Coordonn_1;Campagne;Datation;Anciennes_;POINT_X;POINT_Y
157;0;Point;Tombb;198;Continuous;0;25; ;0;170;444;3;1089;-304;2011-2012;4;304;30.44376643;19.61524963
158;0;Point;Tombb;198;Continuous;0;25; ;0;171;445;3;1088;-306;2011-2012;4;306;30.44374898;19.61524068
159;0;Point;Tombb;198;Continuous;0;25; ;0;172;446;3;1088;-306;2011-2012;4;306;30.44374898;19.61524068
160;0;Point;Tombb;198;Continuous;0;25; ;0;173;447;3;1085;-306;2011-2012;4;306;30.44374925;19.61521437
161;0;Point;Tombb;198;Continuous;0;25; ;0;174;448;3;1084;-305;2011-2012;4;305;30.44375811;19.61520569
162;0;Point;Tombb;198;Continuous;0;25; ;0;175;449;3;1082;-306;2011-2012;4;306;30.44374952;19.61518806
163;0;Point;Tombb;198;Continuous;0;25; ;0;176;450;3;1080;-305;2011-2012;4;305;30.44375847;19.61517061
164;0;Point;Tombb;198;Continuous;0;25; ;0;177;451;3;1079;-304;2011-2012;4;304;30.44376733;19.61516193
165;0;Point;Tombb;198;Continuous;0;25; ;0;178;452;3;1078;-304;2011-2012;4;304;30.44376742;19.61515316
166;0;Point;Tombb;198;Continuous;0;25; ;0;179;453;3;1102;-314;2011-2012;4;314;30.44367757;19.61536273
167;0;Point;Tombb;198;Continuous;0;25; ;0;180;454;3;1104;-317;2011-2012;4;317;30.44365108;19.61538
168;0;Point;Tombb;198;Continuous;0;25; ;0;181;455;3;1101;-316;2011-2012;4;316;30.44366012;19.61535378
169;0;Point;Tombb;198;Continuous;0;25; ;0;182;456;3;1099;-315;2011-2012;4;315;30.44366907;19.61533633
170;0;Point;Tombb;198;Continuous;0;25; ;0;183;457;3;1098;-316;2011-2012;4;316;30.44366039;19.61532747
171;0;Point;Tombb;198;Continuous;0;25; ;0;184;458;3;1095;-308;2011-2012;4;308;30.44373081;19.61530188
172;0;Point;Tombb;198;Continuous;0;25; ;0;185;459;3;1094;-309;2011-2012;4;309;30.44372214;19.61529302
173;0;Point;Tombb;198;Continuous;0;25; ;0;186;460;3;1092;-308;2011-2012;4;308;30.44373108;19.61527557
174;0;Point;Tombb;198;Continuous;0;25; ;0;187;461;3;1090;-308;2011-2012;4;308;30.44373126;19.61525803
175;0;Point;Tombb;198;Continuous;0;25; ;0;188;462;3;1089;-309;2011-2012;4;309;30.44372259;19.61524918
176;0;Point;Tombb;198;Continuous;0;25; ;0;189;463;3;1088;-308;2011-2012;4;308;30.44373144;19.6152405
177;0;Point;Tombb;198;Continuous;0;25; ;0;190;464;3;1081;-308;2011-2012;4;308;30.44373208;19.61517911
178;0;Point;Tombb;198;Continuous;0;25; ;0;191;465;3;1080;-307;2011-2012;4;307;30.44374093;19.61517043
179;0;Point;Tombb;198;Continuous;0;25; ;0;192;466;3;1094;-311;2011-2012;4;311;30.4437046;19.61529284
180;0;Point;Tombb;198;Continuous;0;25; ;0;193;467;3;1092;-310;2011-2012;4;310;30.44371355;19.61527539
181;0;Point;Tombb;198;Continuous;0;25; ;0;194;468;3;1092;-312;2011-2012;4;312;30.44369601;19.61527521
182;0;Point;Tombb;198;Continuous;0;25; ;0;195;469;3;1092;-312;2011-2012;4;312;30.44369601;19.61527521
183;0;Point;Tombb;198;Continuous;0;25; ;0;196;470;3;1093;-313;2011-2012;4;313;30.44368715;19.61528389
184;0;Point;Tombb;198;Continuous;0;25; ;0;197;471;3;1094;-314;2011-2012;4;314;30.44367829;19.61529257
185;0;Point;Tombb;198;Continuous;0;25; ;0;198;472;3;1094;-316;2011-2012;4;316;30.44366075;19.61529239
186;0;Point;Tombb;198;Continuous;0;25; ;0;199;473;3;1092;-314;2011-2012;4;314;30.44367847;19.61527503
187;0;Point;Tombb;198;Continuous;0;25; ;0;200;474;3;1082;-310;2011-2012;4;310;30.44371445;19.6151877
188;0;Point;Tombb;198;Continuous;0;25; ;0;201;475;3;1080;-310;2011-2012;4;310;30.44371463;19.61517016
189;0;Point;Tombb;198;Continuous;0;25; ;0;202;476;1;1080;-266;2011-2012;3;266;30.44410049;19.61517412
190;0;Point;Tombb;198;Continuous;0;25; ;0;203;477;1;1081;-272;2011-2012;3;272;30.44404778;19.61518235
191;0;Point;Tombb;198;Continuous;0;25; ;0;204;478;1;1082;-270;2011-2012;3;270;30.44406523;19.6151913
192;0;Point;Tombb;198;Continuous;0;25; ;0;205;479;1;1080;-269;2011-2012;3;269;30.44407418;19.61517385
193;0;Point;Tombb;198;Continuous;0;25; ;0;206;480;1;1079;-271;2011-2012;3;271;30.44405673;19.6151649
194;0;Point;Tombb;198;Continuous;0;25; ;0;207;481;1;1078;-267;2011-2012;6;267;30.4440919;19.61515649
